_id,Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating,Combined kWh/100 km,Combined L/100 km
278,2024,Lamborghini,Revuelto,Two-seater,110,6.5,12,AM8,E/PG,10.4,8,2.0,Z,24.5,14.2,19.9,365,472,1.0,3.0,49.7,6.1
207,2022,Toyota,Prius Prime,Mid-size,71,1.8,4,AV,E/G*,1.8,40,2.0,X,4.3,4.4,4.3,995,49,10.0,7.0,15.8,0.0
171,2021,Toyota,Prius Prime,Mid-size,71,1.8,4,AV,E/G*,1.8,40,2.0,X,4.3,4.4,4.3,995,49,10.0,7.0,15.8,0.0
54,2017,Toyota,Prius Prime,Mid-size,71,1.8,4,AV,E/G*,1.8,40,2.0,X,4.3,4.4,4.3,995,49,10.0,8.0,15.8,0.0
77,2018,Toyota,Prius Prime,Mid-size,71,1.8,4,AV,E/G*,1.8,40,2.0,X,4.3,4.4,4.3,995,49,10.0,7.0,15.8,0.0
132,2020,Toyota,Prius Prime,Mid-size,71,1.8,4,AV,E/G*,1.8,40,2.0,X,4.3,4.4,4.3,995,49,10.0,7.0,15.8,0.0
103,2019,Toyota,Prius Prime,Mid-size,71,1.8,4,AV,E/G*,1.8,40,2.0,X,4.3,4.4,4.3,995,49,10.0,7.0,15.8,0.0
244,2023,Toyota,Prius Prime SE,Mid-size,120,2.0,4,AV,E/G*,1.8,72,4.0,X,4.4,4.6,4.5,890,31,10.0,7.0,16.4,0.0
286,2024,Toyota,Prius Prime SE,Mid-size,120,2.0,4,AV,E/G*,1.8,72,4.0,X,4.4,4.6,4.5,890,31,10.0,7.0,16.4,0.0
189,2022,Hyundai,IONIQ Plug-in Hybrid,Mid-size,45,1.6,4,AM6,E/G*,2.0,47,2.3,X,4.5,4.6,4.5,954,46,10.0,7.0,17.4,0.0
154,2021,Hyundai,IONIQ Plug-in Hybrid,Mid-size,45,1.6,4,AM6,E/G*,2.0,47,2.3,X,4.5,4.6,4.5,954,46,10.0,7.0,17.4,0.0
92,2019,Hyundai,IONIQ Electric Plus,Mid-size,45,1.6,4,AM6,E/G*,2.0,47,2.3,X,4.4,4.6,4.5,961,46,10.0,7.0,17.7,0.0
69,2018,Hyundai,IONIQ Electric Plus,Mid-size,45,1.6,4,AM6,E/G*,2.0,47,2.3,X,4.4,4.6,4.5,961,46,10.0,7.0,17.7,0.0
121,2020,Hyundai,IONIQ Electric Plus,Mid-size,45,1.6,4,AM6,E/G*,2.0,47,2.3,X,4.4,4.6,4.5,961,46,10.0,7.0,17.7,0.0
24,2016,BMW,i3 REx,Subcompact,125,0.6,2,A1,E,2.0,116,4.0,Z,5.7,6.3,6.0,119,22,10.0,10.0,17.9,
12,2015,BMW,i3 REx,Subcompact,125,0.6,2,A1,E,2.0,116,4.0,Z,5.7,6.3,6.0,119,22,,10.0,17.9,
245,2023,Toyota,Prius Prime XSE,Mid-size,120,2.0,4,AV,E/G*,2.1,64,4.0,X,4.7,5.0,4.9,826,37,10.0,7.0,18.3,0.0
287,2024,Toyota,Prius Prime XSE,Mid-size,120,2.0,4,AV,E/G*,2.1,64,4.0,X,4.7,5.0,4.9,826,37,10.0,7.0,18.3,0.0
40,2017,BMW,i3 REx (94 Ah),Subcompact,125,0.6,2,A1,E,2.1,156,5.0,Z,6.5,7.0,6.7,129,18,10.0,8.0,18.9,
120,2020,Honda,Clarity Plug-in Hybrid,Mid-size,135,1.5,4,AV,E/G*,2.1,77,2.5,X,5.3,5.9,5.6,475,36,10.0,8.0,19.0,0.0
68,2018,Honda,Clarity Plug-in Hybrid,Mid-size,135,1.5,4,AV,E/G*,2.1,77,2.5,X,5.3,5.9,5.6,475,36,10.0,8.0,19.0,0.0
91,2019,Honda,Clarity Plug-in Hybrid,Mid-size,135,1.5,4,AV,E/G*,2.1,77,2.5,X,5.3,5.9,5.6,475,36,10.0,8.0,19.0,0.0
153,2021,Honda,Clarity Plug-in Hybrid,Mid-size,135,1.5,4,AV,E/G*,2.1,77,2.5,X,5.3,5.9,5.6,475,36,10.0,8.0,19.0,0.0
275,2024,Kia,Niro Plug-in Hybrid,Sport utility vehicle: Small,62,1.6,4,AM6,E/G*,2.1,55,2.8,X,4.6,4.9,4.8,781,42,10.0,7.0,19.1,0.0
234,2023,Kia,Niro Plug-in Hybrid,Station wagon: Small,62,1.6,4,AM6,E/G*,2.1,55,2.8,X,4.6,4.9,4.8,781,42,10.0,7.0,19.2,0.0
62,2018,BMW,i3s REx,Subcompact,135,0.6,2,A1,E,2.2,156,5.0,Z,6.6,7.1,6.8,129,18,10.0,7.0,19.1,
61,2018,BMW,i3 REx,Subcompact,125,0.6,2,A1,E,2.2,156,5.0,Z,6.6,7.1,6.8,129,18,10.0,7.0,19.1,
88,2019,Chevrolet,Volt,Compact,111,1.5,4,AV,E,2.2,85,4.5,X,5.5,5.6,5.6,591,32,10.0,7.0,19.5,
122,2020,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1.6,4,AM6,E/G*,2.2,42,2.25,X,4.9,5.3,5.1,853,56,10.0,7.0,19.7,0.0
160,2021,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1.6,4,AM6,E/G*,2.2,42,2.25,X,4.9,5.3,5.1,853,56,10.0,7.0,19.7,0.0
95,2019,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1.6,4,AM6,E/G*,2.2,42,2.25,X,4.9,5.3,5.1,853,56,10.0,7.0,19.7,0.0
194,2022,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1.6,4,AM6,E/G*,2.2,42,2.25,X,4.9,5.3,5.1,853,56,10.0,7.0,19.7,0.0
65,2018,Chevrolet,Volt,Compact,111,1.5,4,AV,E,2.2,85,4.5,X,5.5,5.6,5.6,591,32,10.0,3.0,19.9,
29,2016,Chevrolet,Volt,Compact,111,1.5,4,AV,E,2.2,85,4.5,X,5.5,5.6,5.6,591,32,10.0,10.0,19.9,
44,2017,Chevrolet,Volt,Compact,111,1.5,4,AV,E,2.2,85,4.5,X,5.5,5.6,5.6,591,32,10.0,6.0,19.9,
152,2021,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2.5,4,AV,E/G*,2.2,60,3.3,X,5.5,6.2,5.8,784,48,10.0,7.0,20.2,0.0
188,2022,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2.5,4,AV,E/G*,2.2,60,3.3,X,5.5,6.2,5.8,784,48,10.0,7.0,20.2,0.0
50,2017,Kia,Optima Plug-in Hybrid,Mid-size,50,2.0,4,AM6,E/G*,2.3,47,2.7,X,6.2,5.5,5.9,935,60,10.0,8.0,20.3,0.0
71,2018,Kia,Optima Plug-in Hybrid,Mid-size,50,2.0,4,AM6,E/G*,2.3,47,2.7,X,6.2,5.5,5.9,935,60,10.0,7.0,20.3,0.0
96,2019,Kia,Optima Plug-in Hybrid,Mid-size,50,2.0,4,AM6,E/G*,2.3,47,2.7,X,6.2,5.5,5.9,937,60,10.0,7.0,20.3,0.0
119,2020,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,E/G*,2.3,42,2.6,X,5.5,5.8,5.6,940,61,10.0,7.0,20.5,0.0
90,2019,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,E/G*,2.3,42,2.6,X,5.5,5.8,5.6,940,61,10.0,7.0,20.5,0.0
118,2020,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2.5,4,AV,E/G*,2.3,60,3.3,X,5.4,6.2,5.8,790,48,10.0,7.0,20.5,0.0
271,2024,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2.5,4,AV,E/G*,2.3,60,3.4,X,5.6,6.3,5.9,771,49,10.0,8.0,20.6,0.0
229,2023,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2.5,4,AV,E/G*,2.3,60,3.4,X,5.6,6.3,5.9,771,49,10.0,8.0,20.6,0.0
123,2020,Kia,Optima Plug-in Hybrid,Mid-size,50,2.0,4,AM6,E/G*,2.3,45,2.7,X,6.0,5.3,5.7,962,60,10.0,7.0,20.7,0.0
147,2021,BMW,i3 REx (120 Ah),Subcompact,125,0.6,2,A1,E,2.4,203,7.0,Z,7.8,7.5,7.7,116,14,10.0,7.0,19.9,
113,2020,BMW,i3s REx (120 Ah),Subcompact,135,0.6,2,A1,E,2.4,203,7.0,Z,7.8,7.5,7.7,116,14,10.0,7.0,19.9,
112,2020,BMW,i3 REx (120 Ah),Subcompact,125,0.6,2,A1,E,2.4,203,7.0,Z,7.8,7.5,7.7,116,14,10.0,7.0,19.9,
148,2021,BMW,i3s REx (120 Ah),Subcompact,135,0.6,2,A1,E,2.4,203,7.0,Z,7.8,7.5,7.7,116,14,10.0,7.0,19.9,
85,2019,BMW,i3s REx (120 Ah),Subcompact,135,0.6,2,A1,E,2.4,203,7.0,Z,7.8,7.5,7.7,116,14,10.0,7.0,19.9,
84,2019,BMW,i3 REx (120 Ah),Subcompact,125,0.6,2,A1,E,2.4,203,7.0,Z,7.8,7.5,7.7,116,14,10.0,7.0,19.9,
93,2019,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2.0,4,AM6,E/G*,2.4,45,2.7,X,6.3,5.6,6.0,925,62,10.0,7.0,20.9,0.0
48,2017,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2.0,4,AM6,E/G*,2.4,43,2.7,X,6.2,5.9,6.1,901,65,10.0,8.0,21.1,0.0
32,2016,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2.0,4,AM6,E/G*,2.4,43,2.7,X,6.1,5.7,5.9,925,63,10.0,10.0,21.1,0.0
7,2014,Chevrolet,Volt,Compact,111,1.4,4,AV,E,2.4,61,4.0,Z,6.7,5.9,6.4,550,45,,10.0,21.4,
2,2013,Chevrolet,Volt,Compact,111,1.4,4,AV,E,2.4,61,4.0,Z,6.7,5.9,6.4,550,45,,10.0,21.4,
14,2015,Chevrolet,Volt,Compact,111,1.4,4,AV,E,2.4,61,4.0,Z,6.7,5.9,6.4,547,50,,10.0,21.4,
47,2017,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,E/G*,2.4,35,2.5,X,5.5,5.7,5.6,947,70,10.0,8.0,21.5,0.0
67,2018,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,E/G*,2.4,35,2.5,X,5.5,5.7,5.6,947,70,10.0,7.0,21.5,0.0
5,2013,Toyota,Prius Plug-in Hybrid,Mid-size,60,1.8,4,AV,E/G,2.5,18,1.5,X,4.7,4.8,4.7,845,101,,10.0,18.0,0.4
20,2015,Toyota,Prius Plug-in Hybrid,Mid-size,60,1.8,4,AV,E/G,2.5,18,1.5,X,4.7,4.8,4.7,845,101,,10.0,18.0,0.4
11,2014,Toyota,Prius Plug-in Hybrid,Mid-size,60,1.8,4,AV,E/G,2.5,18,1.5,X,4.7,4.8,4.7,845,101,,10.0,18.0,0.4
46,2017,Ford,C-MAX Energi,Mid-size,35,2.0,4,AV,E/G*,2.5,33,2.5,X,5.8,6.2,6.0,884,76,10.0,8.0,22.0,0.0
172,2021,Toyota,RAV4 Prime,Sport utility vehicle: Small,134,2.5,4,AV,E/G*,2.5,68,4.5,X,5.7,6.4,6.0,911,44,10.0,7.0,22.3,0.0
208,2022,Toyota,RAV4 Prime,Sport utility vehicle: Small,134,2.5,4,AV,E/G*,2.5,68,4.5,X,5.7,6.4,6.0,911,44,10.0,7.0,22.3,0.0
246,2023,Toyota,RAV4 Prime,Sport utility vehicle: Small,134,2.5,4,AV,E/G*,2.5,68,4.5,X,5.7,6.4,6.0,911,44,10.0,7.0,22.3,0.0
288,2024,Toyota,RAV4 Prime,Sport utility vehicle: Small,134,2.5,4,AV,E/G*,2.5,68,4.5,X,5.7,6.4,6.0,911,44,10.0,7.0,22.3,0.0
1,2012,Chevrolet,Volt,Compact,111,1.4,4,AV,E,2.5,56,4.0,Z,6.7,5.9,6.4,550,54,,10.0,22.3,
243,2023,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,100,2.0,4,AV,E/G*,2.6,27,2.0,X,6.6,6.8,6.7,747,94,9.0,6.0,23.5,0.0
131,2020,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,100,2.0,4,AV,E/G*,2.6,27,2.0,X,6.6,6.8,6.7,747,94,10.0,6.0,23.5,0.0
170,2021,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,100,2.0,4,AV,E/G*,2.6,27,2.0,X,6.6,6.8,6.7,747,94,10.0,6.0,23.5,0.0
206,2022,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,100,2.0,4,AV,E/G*,2.6,27,2.0,X,6.6,6.8,6.7,747,94,10.0,6.0,23.5,0.0
30,2016,Ford,C-MAX Energi,Mid-size,35,2.0,4,AV,E/G,2.7,32,2.5,X,5.8,6.5,6.1,856,80,10.0,10.0,23.2,0.1
31,2016,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,E/G,2.7,32,2.5,X,5.8,6.5,6.1,856,80,10.0,10.0,23.2,0.1
16,2015,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,E/G,2.7,32,2.5,X,5.8,6.5,6.1,856,80,,10.0,23.2,0.1
15,2015,Ford,C-MAX Energi,Mid-size,35,2.0,4,AV,E/G,2.7,32,2.5,X,5.8,6.5,6.1,856,80,,10.0,23.2,0.1
3,2013,Ford,C-MAX Energi,Mid-size,35,2.0,4,AV,E/G,2.7,32,2.5,X,5.8,6.5,6.1,856,80,,10.0,23.2,0.1
9,2014,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,E/G,2.7,32,2.5,X,5.8,6.5,6.1,856,80,,10.0,23.2,0.1
8,2014,Ford,C-MAX Energi,Mid-size,35,2.0,4,AV,E/G,2.7,32,2.5,X,5.8,6.5,6.1,856,80,,10.0,23.2,0.1
4,2013,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,E/G,2.7,32,2.5,X,5.8,6.5,6.1,856,80,,10.0,23.2,0.1
22,2016,Audi,A3 e-tron ultra,Compact,80,1.4,4,A6,E/PG*,2.7,27,2.5,Z,6.4,5.7,6.1,663,85,10.0,10.0,23.9,0.0
27,2016,Cadillac,ELR,Subcompact,174,1.4,4,AV,E,2.7,64,5.0,Z,7.6,7.1,7.4,480,57,10.0,10.0,24.4,
237,2023,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,134,2.5,4,AV6,E/PG*,2.8,61,4.5,Z,6.2,7.0,6.6,835,54,10.0,7.0,24.7,0.0
196,2022,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,134,2.5,4,AV6,E/PG*,2.8,61,4.5,Z,6.2,7.0,6.6,835,54,10.0,7.0,24.7,0.0
279,2024,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,134,2.5,4,AV6,E/PG*,2.8,61,4.5,Z,6.2,7.0,6.6,835,54,10.0,7.0,24.7,0.0
45,2017,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.8,53,2.0,X,7.3,7.2,7.3,858,66,10.0,8.0,24.9,0.0
236,2023,Kia,Sportage Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,2.8,55,2.0,X,6.6,6.7,6.7,632,60,10.0,7.0,24.9,0.0
277,2024,Kia,Sportage Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,2.8,55,2.0,X,6.6,6.7,6.7,632,60,10.0,7.0,24.9,0.0
66,2018,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.8,53,2.0,X,7.3,7.2,7.3,858,66,10.0,7.0,24.9,0.0
280,2024,Lexus,RX 450h+ AWD,Sport utility vehicle: Standard,134,2.5,4,AV6,E/PG*,2.8,60,2.5,Z,6.4,7.1,6.7,818,55,10.0,7.0,25.0,0.0
21,2016,Audi,A3 e-tron,Compact,80,1.4,4,A6,E/PG*,2.8,26,2.5,Z,7.1,6.4,6.8,591,98,10.0,10.0,25.2,0.0
56,2018,Audi,A3 e-tron,Compact,80,1.4,4,AM6,E/PG*,2.8,26,2.0,Z,6.8,6.0,6.5,623,93,10.0,7.0,25.2,0.0
37,2017,Audi,A3 e-tron,Compact,80,1.4,4,A6,E/PG*,2.8,26,2.5,Z,7.2,6.6,6.9,579,98,10.0,8.0,25.5,0.0
6,2014,Cadillac,ELR,Compact,117,1.4,4,AV,E,2.9,59,5.0,Z,7.6,6.7,7.2,493,50,,10.0,25.3,
228,2023,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
151,2021,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
89,2019,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
117,2020,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
187,2022,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
263,2024,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,9.0,7.0,25.8,0.0
