_id,Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating,Combined kWh/100 km,Combined L/100 km
106,2019,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2.0,4,AS8,E/PG*,3.9,27,3.0,Z,9.8,8.7,9.3,756,132,9.0,7.0,34.3,0.0
80,2018,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2.0,4,AS8,E/PG*,3.9,27,3.0,Z,9.6,8.6,9.2,547,130,9.0,7.0,34.4,0.0
225,2023,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2.0,4,AS8,E/PG*,3.9,29,3.0,Z,11.4,8.6,10.1,502,129,8.0,7.0,34.7,0.0
179,2022,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,105,2.0,4,AM7,E/PG*,3.9,37,3.0,Z,9.4,8.8,9.1,594,92,10.0,7.0,34.7,0.0
259,2024,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2.0,4,AS8,E/PG*,3.9,29,3.0,Z,11.4,8.6,10.1,502,129,8.0,7.0,34.7,0.0
70,2018,Karma,Revero,Subcompact,300,2.0,4,A1,E,3.9,60,3.75,Z,11.8,11.2,11.5,328,94,10.0,1.0,34.7,
94,2019,Karma,Revero,Subcompact,300,2.0,4,A1,E,3.9,60,3.75,Z,11.8,11.2,11.5,328,94,10.0,1.0,34.7,
219,2023,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,105,2.0,4,AM7,E/PG*,3.9,37,3.0,Z,9.3,8.7,9.0,600,92,9.0,7.0,34.8,0.0
185,2022,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2.0,4,AS8,E/PG*,3.9,29,3.0,Z,11.0,8.6,9.9,512,127,8.0,7.0,34.9,0.0
149,2021,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2.0,4,AS8,E/PG*,3.9,29,3.0,Z,11.0,8.6,9.9,512,127,9.0,7.0,34.9,0.0
116,2020,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2.0,4,AS8,E/PG*,3.9,29,3.0,Z,11.0,8.6,9.9,512,127,9.0,7.0,35.0,0.0
284,2024,Mercedes-Benz,S 580e 4MATIC Sedan,Full-size,110,3.0,6,A9,E/PG*,3.9,74,2.25,Z,11.5,8.2,10.0,687,69,9.0,7.0,35.0,0.0
215,2022,Volvo,XC60 T8 AWD Recharge,Sport utility vehicle: Small,65,2.0,4,AS8,E/PG*,3.9,31,3.0,Z,9.7,8.7,9.3,769,126,8.0,7.0,35.1,0.0
165,2021,Polestar,1,Minicompact,170,2.0,4,AS8,E/PG*,3.9,84,9.0,Z,10.5,7.6,9.2,671,54,10.0,5.0,35.4,0.0
79,2018,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,65,2.0,4,AS8,E/PG*,4.0,27,3.0,Z,10.1,8.5,9.4,534,133,9.0,7.0,34.9,0.0
260,2024,BMW,X5 xDrive50e,Sport utility vehicle: Standard,145,3.0,6,AS8,E/PG*,4.0,63,3.0,Z,10.9,10.2,10.6,650,81,9.0,7.0,35.9,0.0
137,2020,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2.0,4,AS8,E/PG*,4.0,29,3.0,Z,9.1,8.4,8.8,813,120,10.0,7.0,36.1,0.0
176,2021,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,65,2.0,4,AS8,E/PG*,4.0,31,3.0,Z,9.8,8.7,9.3,769,125,9.0,7.0,36.1,0.0
217,2022,Volvo,XC90 T8 AWD Recharge,Sport utility vehicle: Standard,65,2.0,4,AS8,E/PG*,4.0,29,3.0,Z,9.1,8.4,8.8,813,120,9.0,7.0,36.1,0.0
177,2021,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2.0,4,AS8,E/PG*,4.0,29,3.0,Z,9.1,8.4,8.8,813,120,9.0,7.0,36.1,0.0
253,2024,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,105,2.0,4,AM7,E/PG*,4.1,39,3.0,Z,9.4,8.7,9.1,595,93,9.0,7.0,36.2,0.0
283,2024,Mercedes-Benz,GLE 450e 4MATIC SUV,Sport utility vehicle: Standard,100,2.0,4,A9,E/PG*,4.1,77,2.75,Z,10.5,9.1,9.9,663,63,9.0,7.0,36.4,0.0
52,2017,Mercedes-Benz,S 550e,Full-size,85,3.0,6,AS7,E/PG*,4.1,23,2.75,Z,10.0,7.9,9.1,702,142,9.0,6.0,36.7,0.0
33,2016,Mercedes-Benz,S 550e,Full-size,85,3.0,6,AS7,E/PG*,4.1,23,2.75,Z,10.0,7.8,9.0,695,141,9.0,10.0,36.7,0.0
273,2024,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,100,2.0,4,A8,E/G*,4.2,42,3.4,X,10.3,9.7,10.0,719,110,8.0,7.0,36.0,0.0
232,2023,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,100,2.0,4,A8,E/G*,4.2,42,3.4,X,10.3,9.7,10.0,719,110,8.0,7.0,36.0,0.0
192,2022,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,100,2.0,4,A8,E/G*,4.2,42,3.4,X,10.3,9.7,10.0,719,110,9.0,7.0,36.0,0.0
282,2024,Mazda,CX-90 PHEV 4WD,Sport utility vehicle: Standard,68,2.5,4,AS8,E/PG,4.2,42,2.1,Z,9.9,8.7,9.4,747,105,8.0,7.0,36.0,0.2
72,2018,Mercedes-Benz,GLC 350e 4MATIC,Sport utility vehicle: Small,85,2.0,4,A7,E/PG*,4.2,21,1.9,Z,9.8,8.6,9.3,541,146,9.0,7.0,36.5,0.0
97,2019,Mercedes-Benz,GLC 350e 4MATIC,Sport utility vehicle: Small,85,2.0,4,A7,E/PG*,4.2,21,1.9,Z,9.8,8.6,9.3,541,146,9.0,7.0,36.5,0.0
26,2016,BMW,X5 xDrive40e,Sport utility vehicle: Standard,83,2.0,4,AS8,E/PG*,4.2,23,3.0,Z,10.2,9.5,9.9,842,153,8.0,10.0,36.8,0.0
42,2017,BMW,X5 xDrive40e,Sport utility vehicle: Standard,83,2.0,4,AS8,E/PG*,4.2,23,3.0,Z,10.2,9.5,9.9,840,154,8.0,6.0,36.8,0.0
63,2018,BMW,X5 xDrive40e,Sport utility vehicle: Standard,83,2.0,4,AS8,E/PG*,4.2,23,3.0,Z,10.2,9.5,9.9,842,154,8.0,3.0,36.9,0.0
197,2022,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,62,3.0,6,AS10,E/G*,4.2,34,3.5,X,10.9,9.6,10.3,713,130,8.0,7.0,37.3,0.0
161,2021,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,62,3.0,6,AS10,E/G*,4.2,34,3.5,X,10.9,9.6,10.3,713,130,9.0,7.0,37.3,0.0
238,2023,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,62,3.0,6,AS10,E/G*,4.2,34,3.5,X,10.9,9.6,10.3,713,130,8.0,7.0,37.3,0.0
146,2021,BMW,745Le xDrive,Full-size,83,3.0,6,AS8,E/PG*,4.2,27,3.0,Z,12.2,9.1,10.8,435,152,8.0,3.0,37.4,0.0
184,2022,BMW,745Le xDrive,Full-size,83,3.0,6,AS8,E/PG*,4.2,27,3.0,Z,12.2,9.1,10.8,435,152,7.0,3.0,37.4,0.0
124,2020,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,62,3.0,6,AS10,E/G*,4.2,34,3.5,X,10.9,9.6,10.3,713,130,9.0,7.0,37.5,0.0
111,2020,BMW,745Le xDrive,Full-size,83,3.0,6,AS8,E/PG*,4.2,26,3.0,Z,12.2,9.1,10.8,435,152,8.0,3.0,37.7,0.0
136,2020,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,65,2.0,4,AS8,E/PG*,4.2,27,3.0,Z,9.5,8.7,9.1,781,128,9.0,7.0,38.2,0.0
139,2021,Audi,A8 L Sedan 60 TFSI e quattro,Full-size,100,3.0,6,AS8,E/PG*,4.4,29,2.4,Z,11.3,9.1,10.3,639,132,8.0,3.0,39.2,0.0
226,2023,BMW,X5 xDrive45e,Sport utility vehicle: Standard,83,3.0,6,AS8,E/PG*,4.5,50,5.0,Z,12.2,10.6,11.5,602,110,8.0,7.0,39.2,0.0
186,2022,BMW,X5 xDrive45e,Sport utility vehicle: Standard,83,3.0,6,AS8,E/PG*,4.5,50,5.0,Z,12.2,10.6,11.5,602,110,9.0,7.0,39.2,0.0
203,2022,Porsche,Panamera 4 E-Hybrid,Full-size,70,2.9,6,AM8,E/PG*,4.5,31,3.0,Z,11.4,10.0,10.8,745,144,8.0,5.0,39.6,0.0
168,2021,Porsche,Panamera 4 E-Hybrid,Full-size,70,2.9,6,AM8,E/PG*,4.5,31,3.0,Z,11.4,10.0,10.8,745,144,8.0,5.0,39.6,0.0
240,2023,Mercedes-Benz,S 580e 4MATIC Sedan,Full-size,110,3.0,6,A9,E/PG,4.6,90,2.25,Z,11.5,8.2,10.0,671,67,10.0,7.0,30.4,1.2
19,2015,Porsche,Panamera S E-Hybrid,Full-size,71,3.0,6,A8,E/PG,4.6,26,3.0,Z,10.4,8.0,9.3,871,142,,10.0,31.7,1.0
35,2016,Porsche,Panamera S E-Hybrid,Full-size,71,3.0,6,A8,E/PG,4.6,26,3.0,Z,10.4,8.0,9.3,871,142,9.0,10.0,31.7,1.0
10,2014,Porsche,Panamera S E-Hybrid,Full-size,71,3.0,6,A8,E/PG,4.6,26,3.0,Z,10.4,8.0,9.3,871,142,,10.0,31.7,1.0
129,2020,Porsche,Panamera 4 E-Hybrid,Full-size,70,2.9,6,AM8,E,4.6,23,3.0,Z,11.1,9.7,10.5,768,158,8.0,5.0,40.3,
101,2019,Porsche,Panamera 4 E-Hybrid,Full-size,70,2.9,6,AM8,E,4.6,23,3.0,Z,11.1,9.7,10.5,768,158,8.0,5.0,40.3,
36,2016,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2.0,4,AS8,E/PG*,4.6,21,3.0,Z,10.1,8.8,9.5,529,150,8.0,10.0,40.4,0.0
49,2017,Karma,Revero,Subcompact,300,2.0,4,A1,E,4.6,51,3.75,Z,13.0,12.0,12.5,303,114,10.0,5.0,41.0,
268,2024,Ferrari,SF90 Stradale,Two-seater,137,3.9,8,AM8,E/PG*,4.6,14,2.5,Z,14.6,11.9,13.4,513,251,5.0,3.0,41.3,0.0
140,2021,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,105,2.0,4,AM7,E/PG,4.7,31,2.4,Z,9.3,8.2,8.8,608,103,10.0,7.0,27.5,1.5
150,2021,BMW,X5 xDrive45e,Sport utility vehicle: Standard,83,3.0,6,AS8,E/PG,4.7,50,5.0,Z,12.2,10.6,11.5,600,111,9.0,7.0,38.8,0.3
204,2022,Porsche,Panamera 4S E-Hybrid,Full-size,70,2.9,6,AM8,E/PG*,4.7,31,3.0,Z,11.4,10.1,10.8,742,147,8.0,5.0,40.9,0.0
233,2023,Jeep,Wrangler 4xe,Sport utility vehicle: Small,100,2.0,4,A8,E/G*,4.8,35,2.4,X,11.6,11.9,11.7,557,143,7.0,5.0,42.2,0.0
155,2021,Jeep,Wrangler 4xe,Sport utility vehicle: Small,100,2.0,4,A8,E/G*,4.8,35,2.4,X,11.6,11.9,11.7,557,143,8.0,5.0,42.2,0.0
193,2022,Jeep,Wrangler 4xe,Sport utility vehicle: Small,100,2.0,4,A8,E/G*,4.8,35,2.4,X,11.6,11.9,11.7,557,143,8.0,5.0,42.2,0.0
274,2024,Jeep,Wrangler 4xe,Sport utility vehicle: Small,100,2.0,4,A8,E/G*,4.8,35,2.4,X,11.6,11.9,11.7,557,143,7.0,7.0,42.2,0.0
55,2017,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2.0,4,AS8,E/PG*,4.8,21,3.0,Z,10.0,8.8,9.5,529,148,8.0,8.0,47.3,0.0
102,2019,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4.0,8,AM8,E,4.9,23,3.0,Z,12.3,10.6,11.5,695,180,7.0,3.0,41.0,
130,2020,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4.0,8,AM8,E,4.9,23,3.0,Z,12.3,10.6,11.5,695,180,7.0,3.0,41.0,
169,2021,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4.0,8,AM8,E/PG*,4.9,27,3.0,Z,13.2,10.8,12.1,665,171,7.0,3.0,43.8,0.0
205,2022,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4.0,8,AM8,E/PG*,4.9,27,3.0,Z,13.2,10.8,12.1,665,171,7.0,3.0,43.8,0.0
266,2024,Ferrari,296 GTS,Two-seater,137,2.9,6,AM8,E/PG*,4.9,13,2.5,Z,15.2,10.7,13.2,504,251,5.0,6.0,44.2,0.0
18,2015,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3.0,6,A8,E,5.0,24,3.0,Z,11.3,9.8,10.6,758,162,,10.0,43.2,
34,2016,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3.0,6,A8,E,5.0,24,3.0,Z,11.3,9.8,10.6,758,162,8.0,10.0,43.2,
220,2023,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,100,3.0,6,AS8,E/PG*,5.0,31,3.0,Z,13.3,9.8,11.7,652,138,7.0,3.0,44.2,0.0
265,2024,Ferrari,296 GTB,Two-seater,137,2.9,6,AM8,E/PG*,5.0,13,2.5,Z,15.2,10.7,13.2,526,247,5.0,6.0,45.0,0.0
53,2017,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3.0,6,A8,E,5.1,23,3.0,Z,11.3,9.8,10.6,768,160,8.0,6.0,44.2,
76,2018,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3.0,6,AM8,E,5.1,23,3.0,Z,11.3,9.8,10.6,768,160,8.0,3.0,44.2,
100,2019,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,99,3.0,6,AS8,E,5.1,21,3.0,Z,11.8,10.5,11.2,669,177,7.0,3.0,44.8,
166,2021,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,99,3.0,6,AS8,E/PG*,5.1,27,3.0,Z,11.8,10.6,11.3,666,160,7.0,5.0,44.9,0.0
201,2022,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,99,3.0,6,AS8,E/PG*,5.1,27,3.0,Z,11.8,10.6,11.3,666,160,7.0,5.0,44.9,0.0
141,2021,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,100,3.0,6,AS8,E/PG*,5.1,29,3.0,Z,13.9,11.2,12.7,599,159,7.0,3.0,45.5,0.0
262,2024,BMW,XM Label Red,Sport utility vehicle: Standard,145,4.4,8,AS8,E/PG*,5.1,50,7.0,Z,20.0,13.5,17.1,436,159,7.0,7.0,45.5,0.0
261,2024,BMW,XM,Sport utility vehicle: Standard,145,4.4,8,AS8,E/PG*,5.1,50,7.0,Z,19.9,13.9,17.2,431,152,7.0,7.0,45.5,0.0
227,2023,BMW,XM,Sport utility vehicle: Standard,145,4.4,8,AS8,E/PG*,5.1,50,7.0,Z,19.9,13.9,17.2,431,152,7.0,7.0,45.5,0.0
255,2024,Bentley,Flying Spur Hybrid,Mid-size,103,2.9,6,AM8,E/PG*,5.1,34,3.0,Z,13.7,10.7,12.3,653,156,7.0,5.0,45.9,0.0
221,2023,Bentley,Flying Spur Hybrid,Mid-size,103,2.9,6,AM8,E/PG*,5.1,34,3.0,Z,13.7,10.7,12.3,653,156,7.0,5.0,45.9,0.0
180,2022,Bentley,Flying Spur Hybrid,Mid-size,103,2.9,6,AM8,E/PG*,5.1,34,3.0,Z,13.7,10.7,12.3,653,156,7.0,5.0,45.9,0.0
108,2020,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,100,3.0,6,AS8,E/PG,5.2,29,3.0,Z,13.6,11.3,12.6,602,153,8.0,3.0,44.2,0.3
270,2024,Ferrari,SF90 XX Stradale,Two-seater,147,3.9,8,AM8,E/PG*,5.3,13,2.5,Z,15.2,12.2,13.9,497,258,4.0,5.0,47.1,0.0
269,2024,Ferrari,SF90 XX Spider,Two-seater,147,3.9,8,AM8,E/PG*,5.3,13,2.5,Z,15.2,12.2,13.9,497,258,4.0,5.0,47.1,0.0
267,2024,Ferrari,SF90 Spider,Two-seater,137,3.9,8,AM8,E/PG*,5.4,13,2.5,Z,14.6,12.6,13.7,500,257,4.0,3.0,47.6,0.0
73,2018,Mercedes-Benz,GLE 550e 4MATIC,Sport utility vehicle: Standard,85,3.0,6,AS7,E/PG,5.5,19,1.9,Z,11.8,10.3,11.1,719,184,7.0,6.0,42.6,0.8
51,2017,Mercedes-Benz,GLE 550e 4MATIC,Sport utility vehicle: Standard,85,3.0,6,AS7,E/PG,5.5,19,1.9,Z,11.8,10.3,11.1,719,184,7.0,6.0,42.7,0.8
254,2024,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,100,3.0,6,AS8,E/PG*,5.6,34,3.0,Z,12.3,10.1,11.3,668,128,8.0,3.0,49.4,0.0
202,2022,Porsche,Cayenne Turbo S E-Hybrid,Sport utility vehicle: Standard,99,4.0,8,AS8,E/PG*,5.6,24,3.0,Z,13.8,12.1,13.0,578,199,6.0,3.0,51.2,0.0
167,2021,Porsche,Cayenne Turbo S E-Hybrid,Sport utility vehicle: Standard,99,4.0,8,AS8,E/PG*,5.6,24,3.0,Z,13.8,12.1,13.0,578,199,6.0,3.0,51.2,0.0
